image,User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Date,Quantity of Sales,Top 5 Category Sales Percentage,Device Model Wise Percentage,Data Usage Wise Percentage,Gender Wise Custom Distribution,Best Year Sales,Best Year (2008-2012),Top Selling Product by Category,Bottom Selling Product by Category
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,3,Xiaomi Mi 11,Android,154,4,761,32,322,42,Male,2,2002,15,0.04%,0.04%,0.05%,52.00%,2004,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,14,Xiaomi Mi 11,Android,215,4.9,1662,43,857,43,Male,3,2003,22,0.06%,0.06%,0.13%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,31,Xiaomi Mi 11,Android,260,6,1361,44,889,37,Female,3,2004,13,0.04%,0.04%,0.14%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,32,Xiaomi Mi 11,Android,197,4.6,1660,59,975,25,Male,3,2005,89,0.25%,0.25%,0.15%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,35,Xiaomi Mi 11,Android,593,10.2,2499,81,1616,38,Female,5,2006,67,0.19%,0.19%,0.25%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,41,Xiaomi Mi 11,Android,240,4.7,1464,52,708,56,Female,3,2007,3,0.01%,0.01%,0.11%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,45,Xiaomi Mi 11,Android,138,2.4,837,21,572,56,Female,2,2008,37,0.10%,0.10%,0.09%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,46,Xiaomi Mi 11,Android,502,10.9,2476,96,1935,39,Male,5,2009,59,0.16%,0.16%,0.30%,52.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,51,Xiaomi Mi 11,Android,452,7.4,2180,61,1417,54,Female,4,2010,36,0.10%,0.10%,0.22%,48.00%,,2011,Xiaomi Mi 11,
https://www.google.com/imgres?q=Xiaomi%20Mi%2011%0D%0A&imgurl=https%3A%2F%2Fi01.appmifile.com%2Fv1%2FMI_18455B3E4DA706226CF7535A58E875F0267%2Fpms_1666344667.93946102.png&imgrefurl=https%3A%2F%2Fwww.mi.com%2Fglobal%2Fproduct%2Fmi-11%2F&docid=GqV-05RkWpiriM&tbnid=I3lq9_CIYk3aSM&vet=12ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjVk53G8pWJAxXh8zgGHccDDUcQM3oECBwQAA,52,Xiaomi Mi 11,Android,245,5.9,1243,52,885,29,Male,3,2011,80,0.22%,0.22%,0.14%,52.00%,,2011,Xiaomi Mi 11,
